Realm,Genus,Species,data_gatherer,habitat_data_gatherer,Kingdom,Phylum,Class,Order,Family,maximum_body_size_SVL_HBL_cm_,Source_for_maximum_body_size,notes_on_body_size_e_g_type_of_metric_,Trophic_position,Source_logic_for_trophic_position,migratory_,source_logic_for_migration_info,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_,logic_source_for_dispersal_type,cold_season_dormancy_,source_logic_for_cold_season_dormancy,notes_for_cold_season_dormancy,hot_season_dormancy_,source_logic_for_hot_season_dormancy,notes_for_hot_season_dormancy,highland_specialist,source_logic_for_highland_specialist,coastal_or_oceanic,notes_logic,coastal_or_oceanic_source,upper_depth_limit,lower_depth_limit,usual_range,depth_distribution_source,lower_elevation_limit_meters,upper_elevation_limit_meters,elevational_range_source,pelagic_habitat_for_marine_species,source_logic_for_pelagic_habitat,genus_species,limit_type,notes,newly_added
Intertidal,Littorina,saxatilis,Jenn,Nikki,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Littorinidae,1.9,sealifebase,NA,herbivore,Shumway et al. (1993) 106(2): 391-395,Non-migratory,taxa,10-100,Ingolfsson (1995) Marine Biology 122: 13-21; dispersal on seaweed,non-pelagic development and crawling adults,Mileikovsky (1975) Marine Biology 30: 129-135; viviparity,No,unheard of for marine gastropods,NA,No,unheard of for marine gastropods,NA,NA,intertidal,NA,intertidal,NA,0,-46,NA,sealifebase,NA,NA,intertidal,benthic,NA,Littorina_saxatilis,"max, min",NA,NA
Intertidal,Ischnochiton,australis,Jenn,Nikki,Animalia,Mollusca,Polyplaclophora,Chitonida,Ischnochitonidae,NA,NA,NA,herbivore,Sigwart and Schwabe (2017) Invertebrate Zoology 14(2): 205–216,Non-migratory,taxa,1-10,"planktonic larvae with development time of hours to days (Palmer, A. N. S. (2012).Austral Ecology, 37(1), 110-124.)",pelagic development and crawling adults,Palmer (2011) Austral Ecology 37(1): 110-124; lecithotrophic larvae,No,no info - based on taxa,NA,No,no info - based on taxa,NA,NA,intertidal,NA,intertidal,NA,0,-30,NA,https://www.reeflex.net/tiere/11416_Ischnochiton_australis.htm,NA,NA,intertidal,benthic,NA,Ischnochiton_australis,max,NA,NA
Marine,Crangon,crangon,Jenn,Sarah,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,8.9,sealifebase,TL male/unsexed,carnivore,sealifebase,Non-migratory,taxa,10-100,http://www.marlin.ac.uk/biotic/browse.php?sp=4599,pelagic development and crawling adults,planktotrophic larvae - http://www.marlin.ac.uk/biotic/browse.php?sp=4599,No,no info - based on taxa,NA,No,no info - based on taxa,NA,NA,marine,coastal,NA,sealifebase,0,-50,NA,NA,NA,NA,marine,benthic,sealifebase,Crangon_crangon,max,NA,NA
Marine,Liocarcinus,marmoreus,Jenn,Sarah,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,3,Robinson et al. (2010) Journal of the Marine Biological Association of the United Kingdom 90(1): 95-104,CW maximum,carnivore,EOL,Non-migratory,taxa,10-100,"larval pelagic phase - Giomi, F., Raicevich, S., Ferrarese, A., Pranovi, F., Di Muro, P., & Beltramini, M. (2007). Marine biology, 151(4), 1237-1247.",pelagic development and crawling adults,"larval pelagic phase - Giomi, F., Raicevich, S., Ferrarese, A., Pranovi, F., Di Muro, P., & Beltramini, M. (2007). Marine biology, 151(4), 1237-1247.",No,no info - based on taxa,NA,No,no info - based on taxa,NA,NA,marine,coastal,NA,sealifebase,0,-200,NA,NA,NA,NA,marine,benthic,EOL,Liocarcinus_marmoreus,max,NA,NA
Marine,Metacarcinus,magister,Jenn,Sarah,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,22.5,sealifebase,CW male/unsexed,omnivore,Yamada et al. (2010) Journal of Shellfish Research 29(2):471-477,Non-migratory,taxa,100+,"PLD 80 days - Rasmuson, L. K. (2013). The biology, ecology and fishery of the Dungeness crab, Cancer magister. In Advances in marine biology (Vol. 65, pp. 95-148). Academic Press.",pelagic development and crawling adults,"planktonic larval stage - Rasmuson, L. K., & Shanks, A. L. (2020). Revisiting cross-shelf transport of Dungeness crab (Metacarcinus magister) megalopae by the internal tide using 16 years of daily abundance data. Journal of Experimental Marine Biology and Ecology, 527, 151334.",No,no info - based on taxa,NA,No,no info - based on taxa,NA,NA,marine,coastal-oceanic?,benthic up to 360 m,sealifebase,0,-360,NA,NA,NA,NA,marine,benthic,EOL,Metacarcinus_magister,max,NA,NA
Marine,Liothyrella,uva,Jenn,Sarah,Animalia,Brachiopoda,Articulata,Terebratulida,Terebratulidae,5,Peck and Holmes (1989) Journal of Experimental Marine Biology and Ecology 133(1–2):141-150,maximum shell length,omnivore,deposit feeder,Non-migratory,taxa,100+,"PLD 45 days - Peck, L. S., & Robinson, K. (1994). Pelagic larval development in the brooding Antarctic brachiopod Liothyrella uva. Marine Biology, 120(2), 279-286.",pelagic development and crawling adults,"planktonic larval stage - Peck, L. S., & Robinson, K. (1994). Pelagic larval development in the brooding Antarctic brachiopod Liothyrella uva. Marine Biology, 120(2), 279-286.",No,no info - based on taxa,NA,No,no info - based on taxa,NA,NA,marine,oceanic?,range deeper than 200,sealifebase,-232,-385,NA,NA,NA,NA,marine,benthic,sealifebase,Liothyrella_uva,max,NA,NA
Marine,Liothyrella,neozelanica,Jenn,Sarah,Animalia,Brachiopoda,Rhynchonellata,Terebratulida,Terebratulidae,5,Baird et al. (2013) Biological Bulletin 25(3):125-36,NA,omnivore,deposit feeder,Non-migratory,taxa,1-10,"guess since broods larvae - Chuang, S. H. (1994). Observations on the reproduction and development of Liothyrella neozelanica Thomson 1918 (Terebratulacea, Articulata, Brachiopoda). Journal of the Royal Society of New Zealand, 24(2), 209-218.",non-pelagic devepment and crawling adults,larval brooding,No,no info - based on taxa,NA,No,no info - based on taxa,NA,NA,marine,coastal-oceanic,NA,sealifebase,-6,-1939,NA,NA,NA,NA,marine,benthic,sealifebase,Liothyrella_neozelanica,max,NA,NA
Marine,Menidia,menidia,Sally,Sarah,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,15,fishbase,NA,carnivore,fishbase,Migratory,oceanodromous - fishbase,10-100,"planktonic larvae of unk duration - Austin, H. M., Sosnow, A. D., & Hickey Jr, C. R. (1975). Transactions of the American Fisheries Society, 104(4), 762-765.",pelagic development and swimming adults,"planktonic larvae  - Austin, H. M., Sosnow, A. D., & Hickey Jr, C. R. (1975). Transactions of the American Fisheries Society, 104(4), 762-765.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,pelagic-neritic,fishbase,0,-3,NA,fishbase,NA,NA,marine,pelagic,fishbase,Menidia_menidia,"max, min",NA,NA
Marine,Clupea,harengus,Sally,Sarah,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,45,fishbase,NA,carnivore,optional zooplanktivorous filter-feeder (fishbase),Migratory,"oceanodromous - Kanwit, J. K., & Libby, D. A. (2008). Seasonal movements of Atlantic herring (Clupea harengus): results from a four year tagging study conducted in the Gulf of Maine and Southern New England. Journal of Northwest Atlantic Fishery Science, 40.",100+,"Kanwit, J. K., & Libby, D. A. (2008). Seasonal movements of Atlantic herring (Clupea harengus): results from a four year tagging study conducted in the Gulf of Maine and Southern New England. Journal of Northwest Atlantic Fishery Science, 40.",pelagic development and swimming adults,"pelagic larvae - Deschepper, I., Lyons, K., Lyashevska, O., & Brophy, D. (2020). Biophysical models reveal the role of tides, wind, and larval behaviour in early transport and retention of Atlantic herring (Clupea harengus) in the Celtic Sea. Canadian Journal of Fisheries and Aquatic Sciences, 77(1), 90-107.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal_oceanic,"""spawning and wintering grounds in coastal areas and feeding grounds in open water""",fishbase,0,-364,0-200,fishbase,NA,NA,marine,benthopelagic,fishbase,Clupea_harengus,max,NA,NA
Marine,Engraulis,japonicus,Sally,Sarah,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,18,fishbase,NA,omnivore,fishbase,Migratory,oceanodromous - fishbase,100+,"60 day PLD - Xing, Q., Yu, H., Yu, H., Sun, P., Liu, Y., Ye, Z., ... & Tian, Y. (2020). Ecological Indicators, 116, 106479.",pelagic development and swimming adults,"planktonic larvae - Xing, Q., Yu, H., Yu, H., Sun, P., Liu, Y., Ye, Z., ... & Tian, Y. (2020). Ecological Indicators, 116, 106479.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal?,"pelagic-neritic; ""mainly in coastal waters but as far out as over 1,000 km from the shore""",fishbase,0,-400,NA,fishbase,NA,NA,marine,pelagic,fishbase,Engraulis_japonicus,"max, min",NA,NA
Marine,Fundulus,parvipinnis,Sally,Sarah,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,10.8,fishbase,NA,omnivore,Hayman et al (2020) Journal of Experimental Marine Biology and Ecology 524: 151319,Non-migratory,no info,1-10,"guess - short larval development, genetics suggest limited dispersal",non-pelagic development and crawling adults,"Bernardi, G., & Talley, D. (2000). Genetic evidence for limited dispersal in the coastal California killifish, Fundulus parvipinnis. Journal of Experimental Marine Biology and Ecology, 255(2), 187-199.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,NA,NA,NA,NA,NA,NA,marine,benthopelagic,fishbase,Fundulus_parvipinnis,"max, min",NA,NA
Marine,Boreogadus,saida,Sally,Sarah,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,40,fishbase,NA,carnivore,fishbase,Migratory,oceanodromous - fishbase,100+,"PLD seems to be multiple months - LeBlanc, M., Geoffroy, M., Bouchard, C., Gauthier, S., Majewski, A., Reist, J. D., & Fortier, L. (2019). Pelagic production and the recruitment of juvenile polar cod Boreogadus saida in Canadian Arctic Seas. Polar Biology, 1-12.",pelagic development and swimming adults,"LeBlanc, M., Geoffroy, M., Bouchard, C., Gauthier, S., Majewski, A., Reist, J. D., & Fortier, L. (2019). Pelagic production and the recruitment of juvenile polar cod Boreogadus saida in Canadian Arctic Seas. Polar Biology, 1-12.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal_oceanic,"""Occurs in coastal habitats during summer and winter""",fishbase,0,-1383,0-400,fishbase,NA,NA,marine,demersal,fishbase,Boreogadus_saida,min,NA,NA
Marine,Dascyllus,aruanus,Sally,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,10,fishbase,NA,omnivore,fishbase,Non-migratory,fishbase,10-100,"PLD 24-29 days - Nakamura, Y., Shibuno, T., & Yamaoka, K. (2012). Relationship between pelagic larval duration and abundance of tropical fishes on temperate coasts of Japan. Journal of Fish Biology, 80(2), 346-357.",pelagic development and swimming adults,"Nakamura, Y., Shibuno, T., & Yamaoka, K. (2012). Relationship between pelagic larval duration and abundance of tropical fishes on temperate coasts of Japan. Journal of Fish Biology, 80(2), 346-357.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,0,-20,NA,fishbase,NA,NA,marine,reef-associated,fishbase,Dascyllus_aruanus,"max, min",NA,NA
Marine,Diplodus,bellottii,Jenn,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,30,fishbase,NA,carnivore,fishbase,Non-migratory,no report of large-scale migration,10-100,"guess since PLD 14-58 days within genus - Coelho, P. M. J. D. (2018). Environmental factors influencing the settlement of Diplodus spp. juveniles in temperate marine rocky shores (Master's thesis, Universidade de Évora).",pelagic development,"guess pelagic larvae based on other species in genus - Coelho, P. M. J. D. (2018). Environmental factors influencing the settlement of Diplodus spp. juveniles in temperate marine rocky shores (Master's thesis, Universidade de Évora).",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,0,-100,30-50,fishbase,NA,NA,marine,benthopelagic,fishbase,Diplodus_bellottii,max,NA,NA
Marine,Halichoeres,dispilus,Sally,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,25,fishbase,NA,carnivore,fishbase,Non-migratory,no info,100+,"PLD 39.4 days - Victor, B. C., & Wellington, G. M. (2000). Endemism and the pelagic larval duration of reef fishes in the eastern Pacific Ocean. Marine Ecology Progress Series, 205, 241-248.",pelagic development and swimming adults,"Victor, B. C., & Wellington, G. M. (2000). Endemism and the pelagic larval duration of reef fishes in the eastern Pacific Ocean. Marine Ecology Progress Series, 205, 241-248.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,-2,-76,NA,fishbase,NA,NA,marine,reef-associated,fishbase,Halichoeres_dispilus,"max, min",NA,NA
Marine,Lipophrys,trigloides,Jenn,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,13,fishbase,NA,omnivore,fishbase,Non-migratory,very inactive - fishbase,100+,"PLD 70 days - Raventós, N., & Macpherson, E. (2001). Planktonic larval duration and settlement marks on the otoliths of Mediterranean littoral fishes. Marine Biology, 138(6), 1115-1120.",pelagic development,"planktonic larval stage - Raventós, N., & Macpherson, E. (2001). Planktonic larval duration and settlement marks on the otoliths of Mediterranean littoral fishes. Marine Biology, 138(6), 1115-1120.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,NA,NA,NA,NA,NA,NA,marine,demersal,fishbase,Lipophrys_trigloides,max,NA,NA
Marine,Malacoctenus,zonifer,Sally,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,8,fishbase,NA,carnivore,fishbase,Non-migratory,no info,1-10,"no info - shallow water fish, Lin, H. C. (2009). Evolution of the suborder Blennioidei: Phylogeny and phylogeography of a shallow water fish clade (Doctoral dissertation, UC San Diego).",non-pelagic development and swimming adults,no info - guess,No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,https://biogeodb.stri.si.edu/sftep/en/thefishes/species/1793,NA,NA,NA,NA,NA,NA,marine,demersal,fishbase,Malacoctenus_zonifer,"max, min",NA,NA
Marine,Pachycara,brachycephalum,Sally,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Zoarcidae,35,fishbase,NA,carnivore,krill and amphipods are main prey - Brodte et al. (2006) Deep Sea Researc Part II: Topical Studies in Oceanograph 53(8-10): 1131-1140,Non-migratory,no report of large-scale migration,1-10,guess since non-pelagic development,non-pelagic development and swimming adults,"Brodte, E., Knust, R., Pörtner, H. O., & Arntz, W. E. (2006). Biology of the Antarctic eelpout Pachycara brachycephalum. Deep Sea Research Part II: Topical Studies in Oceanography, 53(8-10), 1131-1140.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,oceanic,NA,fishbase,-200,-1810,NA,fishbase,NA,NA,marine,bathydemersal,fishbase,Pachycara_brachycephalum,max,NA,NA
Marine,Parablennius,marmoreus,Jenn,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,8.5,fishbase,NA,omnivore,fishbase,Non-migratory,no report of large-scale migration,10-100,guess since PLD unk and coastal,pelagic development,"planktonic larval stage - Ditty, J. G., Shaw, R. F., & Fuiman, L. A. (2005). Larval development of five species of blenny (Teleostei: Blenniidae) from the western central North Atlantic, with a synopsis of blennioid family characters. Journal of fish biology, 66(5), 1261-1284.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,0,-10,NA,fishbase,NA,NA,marine,coral associated,fishbase,Parablennius_marmoreus,max,NA,NA
Marine,Plagiotremus,azaleus,Sally,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,10,fishbase,NA,carnivore,fishbase,Non-migratory,no info,1-10,no info - based on larva and demsersal lifestyle,non-pelagic development and swimming adults,"Gilligan, M. R. (1980). The island and mainland biogeography of resident rocky-shore fishes in the Gulf of California.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,-2,-23,NA,fishbase,NA,NA,marine,reef-associated,fishbase,Plagiotremus_azaleus,"max, min",NA,NA
Marine,Tautogolabrus,adspersus,Sally,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,38,fishbase,NA,omnivore,"Auster, P. J. (1989). Species profiles: life histories and environmental requirements of coastal fishes and invertebrates (North Atlantic and Mid-Atlantic): tautog and cunner (Vol. 82, No. 11). The Service.",Non-migratory,"Auster, P. J. (1989). Species profiles: life histories and environmental requirements of coastal fishes and invertebrates (North Atlantic and Mid-Atlantic): tautog and cunner (Vol. 82, No. 11). The Service.",10-100,"PLD 28.4 days - Victor, B. C. (1986). Duration of the planktonic larval stage of one hundred species of Pacific and Atlantic wrasses (family Labridae). Marine Biology, 90(3), 317-326.",pelagic development and swimming adults,"Victor, B. C. (1986). Duration of the planktonic larval stage of one hundred species of Pacific and Atlantic wrasses (family Labridae). Marine Biology, 90(3), 317-326.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,-10,-128,NA,fishbase,NA,NA,marine,reef-associated,fishbase,Tautogolabrus_adspersus,"max, min",NA,NA
Marine,Thalassoma,lucasanum,Sally,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,15,fishbase,NA,omnivore,fishbase,Non-migratory,no info,100+,"PLD 70.2 days - Victor, B. C., & Wellington, G. M. (2000). Endemism and the pelagic larval duration of reef fishes in the eastern Pacific Ocean. Marine Ecology Progress Series, 205, 241-248.",pelagic development and swimming adults,"Victor, B. C., & Wellington, G. M. (2000). Endemism and the pelagic larval duration of reef fishes in the eastern Pacific Ocean. Marine Ecology Progress Series, 205, 241-248.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,0,-64,2.0-25,fishbase,NA,NA,marine,reef-associated,fishbase,Thalassoma_lucasanum,"max, min",NA,NA
Marine,Trematomus,bernacchii,Sally,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,28,fishbase,NA,omnivore,fishbase,Non-migratory,no report of large-scale migration,100+,guess since PLD from few months to one year in notothenioids,pelagic development and swimming adults,"pelagic larval stage - Murphy, K. R., Kalmanek, E. A., & Cheng, C. H. C. (2017). Diversity and biogeography of larval and juvenile notothenioid fishes in McMurdo Sound, Antarctica. Polar Biology, 40(1), 161-176.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal-oceanic?,demersal up to 700 m; but usually 0-200 depth,fishbase,0,-700,0-200,fishbase,NA,NA,marine,demersal,fishbase,Trematomus_bernacchii,max,NA,NA
Marine,Trematomus,hansoni,Sally,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,41,fishbase,NA,carnivore,fishbase,Non-migratory,"Volpedo, A. V., Tombari, A. D., & Echeverría, D. D. (2008). Eco-morphological patterns of the sagitta of Antarctic fish. Polar Biology, 31(5), 635-640.",100+,guess since PLD from few months to one year in notothenioids,pelagic development and swimming adults,"pelagic larval stage - Van de Putte, A. P., Van Houdt, J. K. J., Maes, G. E., Janko, K., & Volckaert, F. A. M. (2008). The role of dispersal on the genetic structure of the trematomids Trematomus newnesi and T. bernacchii. lantaarnvis Electrona antarctica, 127.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal-oceanic?,demersal up to 550 m,fishbase,-6,-549,NA,fishbase,NA,NA,marine,demersal,fishbase,Trematomus_hansoni,max,NA,NA
Marine,Zoarces,viviparus,Sally,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Zoarcidae,52,fishbase,NA,carnivore,fishbase,Non-migratory,"Pörtner, H. O., Berdal, B., Blust, R., Brix, O., Colosimo, A., De Wachter, B., ... & Zakhartsev, M. (2001). Climate induced temperature effects on growth performance, fecundity and recruitment in marine fish: developing a hypothesis for cause and effect relationships in Atlantic cod (Gadus morhua) and common eelpout (Zoarces viviparus). Continental Shelf Research, 21(18-19), 1975-1997.",10-100,gene flow suggests commonly moves up to 90km - IUCN,non-pelagic development and swimming adults,"livebearer - Voskoboinikova, O. S., & Laius, D. L. (2003). Osteological development of European eelpout Zoarces viviparus (Zoarcidae). Journal of Ichthyology, 43(8), 646-659.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,0,-40,2.0-20,fishbase,NA,NA,marine,demersal,fishbase,Zoarces_viviparus,max,NA,NA
Marine,Pegusa,lascaris,Jenn,Sarah,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,40,fishbase,NA,carnivore,fishbase,Non-migratory,no report of large-scale migration,10-100,guess since PLD unknown duration,pelagic development and swimming adults,"pelagic larval stage - Primo, A. L., Azeiteiro, U. M., Marques, S. C., Martinho, F., Baptista, J., & Pardal, M. A. (2013). Colonization and nursery habitat use patterns of larval and juvenile flatfish species in a small temperate estuary. Journal of Sea Research, 76, 126-134.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,-5,-350,20-50,fishbase,NA,NA,marine,demersal,fishbase,Pegusa_lascaris,max,NA,NA
Marine,Sphoeroides,maculatus,Jenn,Sarah,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetradontidae,36,fishbase,NA,carnivore,fishbase,Non-migratory,"Lyczkowski-Shultz, J. (1971). Age and growth of the northern puffer, Sphoeroides maculatus (Bloch and Schneider). - annual migration along the coast",1-10,no info - guess since demersal,non-pelagic development and swimming adults,no info - guess since demersal,No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,-10,-183,NA,fishbase,NA,NA,marine,demersal,fishbase,Sphoeroides_maculatus,"max, min",NA,NA
Marine,Diplodus,sargus,Sally,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,45,fishbase,NA,carnivore,fishbase,Migratory,oceanodromous - fishbase,10-100,"PLD 3-4 weeks and larvae swam 86.5km - Baptista, V., Morais, P., Cruz, J., Castanho, S., Ribeiro, L., Pousão-Ferreira, P., ... & Teodósio, M. A. (2019). Swimming abilities of temperate pelagic fish larvae prove that they may control their dispersion in coastal areas. Diversity, 11(10), 185.",pelagic development and swimming adults,"pelagic larval stage - Primo, A. L., Azeiteiro, U. M., Marques, S. C., Martinho, F., Baptista, J., & Pardal, M. A. (2013). Colonization and nursery habitat use patterns of larval and juvenile flatfish species in a small temperate estuary. Journal of Sea Research, 76, 126-134.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,0,-50,NA,fishbase,NA,NA,marine,demersal,fishbase,Diplodus_sargus,max,NA,NA
Marine,Diplodus,vulgaris,Sally,Sarah,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,45,fishbase,NA,carnivore,fishbase,Migratory,oceanodromous - fishbase,100+,"PLD 58 days - Macpherson, E., & Raventós, N. (2006). Relationship between pelagic larval duration and geographic distribution of Mediterranean littoral fishes. Marine Ecology Progress Series, 327, 257-265.",pelagic development and swimming adults,"pelagic larval stage - Macpherson, E., & Raventós, N. (2006). Relationship between pelagic larval duration and geographic distribution of Mediterranean littoral fishes. Marine Ecology Progress Series, 327, 257-265.",No,unheard of for fish,NA,No,unheard of for fish,NA,NA,marine,coastal,NA,fishbase,0,-160,0-30,fishbase,NA,NA,marine,benthopelagic,fishbase,Diplodus_vulgaris,max,NA,NA
Marine,Distaplia,occidentalis,Jenn,Sarah,Animalia,Chordata,Ascidiacea,Aplousobranchia,Holozoidae,10,sealifebase,NA,omnivore,filter feeding,Non-migratory,sessile,0-1,guess since larval brooding and sessile adult,non-pelagic development and sessile adults,"larval brooder - Reitzel, A. M., Miner, B. G., & McEdward, L. R. (2004). Relationships between spawning date and larval development time for benthic marine invertebrates: a modeling approach. Marine Ecology Progress Series, 280, 13-23.",No,no info,NA,No,no info,NA,NA,marine,coastal,NA,sealifebase,0,-15,NA,sealifebase,NA,NA,marine,benthic,sealifebase,Distaplia_occidentalis,max,NA,NA
Marine,Cnemidocarpa,bicornuta,Jenn,Sarah,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,NA,NA,NA,omnivore,filter feeding,Non-migratory,sessile,1-10,guess since lecithotrophic,pelagic development,lecithotrophic larval stage - sealifebase,No,no info,NA,No,no info,NA,NA,marine,coastal,NA,sealifebase,NA,-37,NA,sealifebase,NA,NA,marine,benthic,sealifebase,Cnemidocarpa_bicornuta,max,NA,NA
Marine,Echinometra,lucunter,Jenn,Sarah,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,15,sealifebase,NA,omnivore,McClintock et al. (1982) Bulletin of Marine Science 32(1): 365-369,Non-migratory,taxa,10-100,guess since two week planktotropic larvae and crawling adults,pelagic development,"planktotrophic larval stage - Metaxas, A., & Young, C. M. (1998). Responses of echinoid larvae to food patches of different algal densities. Marine Biology, 130(3), 433-445.",No,no info,NA,No,no info,NA,NA,marine,coastal,NA,sealifebase,0,-45,NA,sealifebase,NA,NA,marine,reef-associated,sealifebase,Echinometra_lucunter,max,NA,NA
Marine,Pseudechinus,huttoni,Jenn,Sarah,Animalia,Echinodermata,Echinoidea,Camarodonta,Temnopleuridae,4,Kirby et al. (2006) New Zealand Journal of Marine and Freshwater Research 40(3):413-428,maximum adult size,omnivore,scavenger (http://www.marinelife.ac.nz/species/994),Non-migratory,taxa,10-100,guess since planktotrophic larvae with unknown PLD,pelagic development,"planktotrophic larval stage - Jeffery, C. H., Emlet, R. B., & Littlewood, D. T. J. (2003). Phylogeny and evolution of developmental mode in temnopleurid echinoids. Molecular Phylogenetics and Evolution, 28(1), 99-118.",No,no info,NA,No,no info,NA,NA,marine,coastal,NA,http://www.marinelife.ac.nz/species/994,NA,NA,NA,NA,NA,NA,marine,benthic,NA,Pseudechinus_huttoni,max,NA,NA
Marine,Eucidaris,tribuloides,Jenn,Sarah,Animalia,Echinodermata,Echinoidea,Cidaroida,Cidaridae,13,sealifebase,maximum WD male/unsexed,omnivore,sealifebase,Non-migratory,taxa,1-10,guess since lecithotrophic,pelagic development,"lecithotrophic larval stage - Wray, G. A., & Raff, R. A. (1991). Rapid evolution of gastrulation mechanisms in a sea urchin with lecithotrophic larvae. Evolution, 45(8), 1741-1750.",No,no info,NA,No,no info,NA,NA,marine,coastal,NA,sealifebase,0,-50,NA,sealifebase,NA,NA,marine,benthic,sealifebase,Eucidaris_tribuloides,max,NA,NA
Marine,Sterechinus,neumayeri,Jenn,Sarah,Animalia,Echinodermata,Echinoidea,Echinoida,Echinidae,7,Brey et al. (1995) Marine Biology 124: 279-292,maximum diameter,omnivore,Brockington et al. (2001) Marine Biology 139:127-138,Non-migratory,taxa,100+,"PLD not specified but metamorphosis after 115 days - Bosch, I., Beauchamp, K. A., Steele, M. E., & Pearse, J. S. (1987). Development, metamorphosis, and seasonal abundance of embryos and larvae of the Antarctic sea urchin Sterechinus neumayeri. The Biological Bulletin, 173(1), 126-135.",pelagic development,"pelagic larval stage - Bosch, I., Beauchamp, K. A., Steele, M. E., & Pearse, J. S. (1987). Development, metamorphosis, and seasonal abundance of embryos and larvae of the Antarctic sea urchin Sterechinus neumayeri. The Biological Bulletin, 173(1), 126-135.",No,no info,NA,No,no info,NA,NA,marine,coastal-oceanic?,benthic up to 500,sealifebase,0,-500,NA,sealifebase,NA,NA,marine,benthic,sealifebase,Sterechinus_neumayeri,max,NA,NA
