"range","species","source","type","o_cells","u_cells","rr_cells","pr_cells","pol_fill","equ_fill","realm","range_area_km2","lat_mp","ctmax","ctmin","limit_type","metric","Genus","Species","data_gatherer","habitat_data_gatherer","Kingdom","Phylum","Class","Order","Family","maximum_body_size_SVL_HBL_cm_","Source_for_maximum_body_size","notes_on_body_size_e_g_type_of_metric_","Trophic_position","Source_logic_for_trophic_position","migratory_","source_logic_for_migration_info","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_","logic_source_for_dispersal_type","cold_season_dormancy_","source_logic_for_cold_season_dormancy","notes_for_cold_season_dormancy","hot_season_dormancy_","source_logic_for_hot_season_dormancy","notes_for_hot_season_dormancy","highland_specialist","source_logic_for_highland_specialist","coastal_or_oceanic","notes_logic","coastal_or_oceanic_source","upper_depth_limit","lower_depth_limit","usual_range","depth_distribution_source","lower_elevation_limit_meters","upper_elevation_limit_meters","elevational_range_source","pelagic_habitat_for_marine_species","source_logic_for_pelagic_habitat","notes","newly_added","log_range_area","log_maximum_body_size","abs_lat_mp","dispersal_distance_continuous","prop_unoccupied"
"Liolaemus_laurenti_IUCN","Liolaemus_laurenti","IUCN","Te",3,440,7,444,0.125,0.00688073394495413,"Terrestrial",8118,-30.4094503094999,46.18,12.2,"tmax, tmin","ct","Liolaemus","laurenti","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",7.3,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",800,1100,"IUCN",NA,"terrestrial",NA,NA,1.94591014905531,1.98787434815435,30.4094503094999,1,0.990990990990991
"Liolaemus_melanops_IUCN","Liolaemus_melanops","IUCN","acclimatized",2,1390,10,1398,0.0925925925925926,0.00444444444444444,"Terrestrial",38331,-42.588626478,47.55744,-2.865021,"tmax, tmin","ct","Liolaemus","melanops","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",9.9,"Meiri 2008","max adult SVL","herbivore","Espinoza et al. 2004","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,1000,"IUCN",NA,"terrestrial",NA,NA,2.30258509299405,2.29253475714054,42.588626478,1,0.994277539341917
"Liolaemus_melanops_IUCN","Liolaemus_melanops","IUCN","Te",8,1325,10,1327,0.333333333333333,0.000755287009063444,"Terrestrial",38331,-42.588626478,44.94,5.65,"tmax, tmin","ct","Liolaemus","melanops","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",9.9,"Meiri 2008","max adult SVL","herbivore","Espinoza et al. 2004","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,1000,"IUCN",NA,"terrestrial",NA,NA,2.30258509299405,2.29253475714054,42.588626478,1,0.998492840994725
"Liolaemus_multicolor_IUCN","Liolaemus_multicolor","IUCN","acclimatized",0,167,6,173,0.0555555555555556,0.0252100840336134,"Terrestrial",28576,-23.012822127,47.31744,-0.4550208,"tmax, tmin","ct","Liolaemus","multicolor","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",7.6,"Meiri 2008","max adult SVL","herbivore","Espinoza et al. 2004","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",3000,4400,"IUCN",NA,"terrestrial",NA,NA,1.79175946922805,2.02814824729229,23.012822127,1,0.965317919075145
"Liolaemus_multicolor_IUCN","Liolaemus_multicolor","IUCN","Te",0,155,6,161,0.0625,0.0265486725663717,"Terrestrial",28576,-23.012822127,44.7,8.06,"tmax, tmin","ct","Liolaemus","multicolor","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",7.6,"Meiri 2008","max adult SVL","herbivore","Espinoza et al. 2004","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",3000,4400,"IUCN",NA,"terrestrial",NA,NA,1.79175946922805,2.02814824729229,23.012822127,1,0.962732919254658
"Liolaemus_multimaculatus_IUCN","Liolaemus_multimaculatus","IUCN","acclimatized",1,399,6,404,0.166666666666667,0.0100502512562814,"Terrestrial",3649,-38.728022549,46.44744,0.4149792,"tmax, tmin","ct","Liolaemus","multimaculatus","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",7.23,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Kacoliris, F. P., Williams, J. D., De Arcaute, C. R., & Cassino, C. (2009). Home range size and overlap in Liolaemus multimaculatus (Squamata: Liolamidae) in pampean coastal dunes of Argentina. South American Journal of Herpetology, 4(3), 229-234.","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,50,"IUCN",NA,"terrestrial",NA,NA,1.79175946922805,1.97823903617067,38.728022549,1,0.987623762376238
"Liolaemus_multimaculatus_IUCN","Liolaemus_multimaculatus","IUCN","Te",6,374,6,374,NA,NA,"Terrestrial",3649,-38.728022549,43.83,8.93,"tmax, tmin","ct","Liolaemus","multimaculatus","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",7.23,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Kacoliris, F. P., Williams, J. D., De Arcaute, C. R., & Cassino, C. (2009). Home range size and overlap in Liolaemus multimaculatus (Squamata: Liolamidae) in pampean coastal dunes of Argentina. South American Journal of Herpetology, 4(3), 229-234.","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,50,"IUCN",NA,"terrestrial",NA,NA,1.79175946922805,1.97823903617067,38.728022549,1,1
"Liolaemus_olongasta_IUCN","Liolaemus_olongasta","IUCN","acclimatized",0,449,8,457,0.129032258064516,0.00938967136150235,"Terrestrial",24810,-30.7457156905,47.19744,3.334979,"tmax, tmin","ct","Liolaemus","olongasta","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",6.7,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",900,1770,"IUCN",NA,"terrestrial",NA,NA,2.07944154167984,1.90210752639692,30.7457156905,1,0.982494529540481
"Liolaemus_olongasta_IUCN","Liolaemus_olongasta","IUCN","Te",4,398,8,402,0.25,0.00753768844221105,"Terrestrial",24810,-30.7457156905,44.58,11.85,"tmax, tmin","ct","Liolaemus","olongasta","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",6.7,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",900,1770,"IUCN",NA,"terrestrial",NA,NA,2.07944154167984,1.90210752639692,30.7457156905,1,0.990049751243781
"Liolaemus_petrophilus_IUCN","Liolaemus_petrophilus","IUCN","acclimatized",5,992,20,1007,0.307692307692308,0.0101626016260163,"Terrestrial",96396,-42.934182997,47.84744,-1.205021,"tmax, tmin","ct","Liolaemus","petrophilus","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",10,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",350,1400,"IUCN",NA,"terrestrial",NA,NA,2.99573227355399,2.30258509299405,42.934182997,1,0.985104270109235
"Liolaemus_petrophilus_IUCN","Liolaemus_petrophilus","IUCN","Te",17,949,20,952,1,0.00315126050420168,"Terrestrial",96396,-42.934182997,45.23,7.31,"tmax, tmin","ct","Liolaemus","petrophilus","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",10,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",350,1400,"IUCN",NA,"terrestrial",NA,NA,2.99573227355399,2.30258509299405,42.934182997,1,0.996848739495798
"Liolaemus_poecilochromus_IUCN","Liolaemus_poecilochromus","IUCN","acclimatized",0,149,4,153,0.0540540540540541,0.0172413793103448,"Terrestrial",10167,-26.3318233595,46.77744,0.8349792,"tmax, tmin","ct","Liolaemus","poecilochromus","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",7,"Valdecantos, M. S., Arias, F., & Espinoza, R. E. (2012). Herbivory in Liolaemus poecilochromus, a Small, Cold-Climate Lizard from the Andes of Argentina. Copeia, (2), 203.","mean adult SVL","herbivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",3600,4500,"IUCN",NA,"terrestrial",NA,NA,1.38629436111989,1.94591014905531,26.3318233595,1,0.973856209150327
"Liolaemus_poecilochromus_IUCN","Liolaemus_poecilochromus","IUCN","Te",0,137,4,141,0.0666666666666667,0.018018018018018,"Terrestrial",10167,-26.3318233595,44.16,9.35,"tmax, tmin","ct","Liolaemus","poecilochromus","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",7,"Valdecantos, M. S., Arias, F., & Espinoza, R. E. (2012). Herbivory in Liolaemus poecilochromus, a Small, Cold-Climate Lizard from the Andes of Argentina. Copeia, (2), 203.","mean adult SVL","herbivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",3600,4500,"IUCN",NA,"terrestrial",NA,NA,1.38629436111989,1.94591014905531,26.3318233595,1,0.971631205673759
"Liolaemus_pseudoanomalus_IUCN","Liolaemus_pseudoanomalus","IUCN","acclimatized",0,248,6,254,0.0952380952380952,0.0182648401826484,"Terrestrial",27880,-28.2579329684999,48.54744,3.674979,"tmax, tmin","ct","Liolaemus","pseudoanomalus","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",6.8,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",1500,1500,"IUCN",NA,"terrestrial","Endemic northwest Argentian province, recorded at 1500 only. Used as upper and lower on IUCN.",NA,1.79175946922805,1.91692261218206,28.2579329684999,1,0.976377952755906
"Liolaemus_pseudoanomalus_IUCN","Liolaemus_pseudoanomalus","IUCN","Te",0,213,6,219,0.25,0.0191387559808612,"Terrestrial",27880,-28.2579329684999,45.93,12.19,"tmax, tmin","ct","Liolaemus","pseudoanomalus","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",6.8,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",1500,1500,"IUCN",NA,"terrestrial","Endemic northwest Argentian province, recorded at 1500 only. Used as upper and lower on IUCN.",NA,1.79175946922805,1.91692261218206,28.2579329684999,1,0.972602739726027
"Liolaemus_quilmes_IUCN","Liolaemus_quilmes","IUCN","acclimatized",0,270,3,273,0.0285714285714286,0.00492610837438424,"Terrestrial",7935,-26.3643173055,47.30744,-0.05502083,"tmax, tmin","ct","Liolaemus","quilmes","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",8.9,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Robles, C., & Halloy, M. (2009). Home ranges and reproductive strategies in a neotropical lizard, Liolaemus quilmes (Iguania: Liolaemidae). South American Journal of Herpetology, 4(3), 253-258.","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",1600,2200,"IUCN",NA,"terrestrial",NA,NA,1.09861228866811,2.18605127673809,26.3643173055,1,0.989010989010989
"Liolaemus_quilmes_IUCN","Liolaemus_quilmes","IUCN","Te",0,247,3,250,0.04,0.005,"Terrestrial",7935,-26.3643173055,44.69,8.46,"tmax, tmin","ct","Liolaemus","quilmes","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",8.9,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Robles, C., & Halloy, M. (2009). Home ranges and reproductive strategies in a neotropical lizard, Liolaemus quilmes (Iguania: Liolaemidae). South American Journal of Herpetology, 4(3), 253-258.","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",1600,2200,"IUCN",NA,"terrestrial",NA,NA,1.09861228866811,2.18605127673809,26.3643173055,1,0.988
"Liolaemus_riojanus_IUCN","Liolaemus_riojanus","IUCN","acclimatized",0,725,7,732,0.0784313725490196,0.00440528634361234,"Terrestrial",14046,-31.139950122,47.81744,2.184979,"tmax, tmin","ct","Liolaemus","riojanus","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",6.23,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",550,1200,"IUCN",NA,"terrestrial",NA,NA,1.94591014905531,1.82937633279936,31.139950122,1,0.990437158469945
"Liolaemus_riojanus_IUCN","Liolaemus_riojanus","IUCN","Te",3,671,7,675,0.15,0.00301659125188537,"Terrestrial",14046,-31.139950122,45.2,10.7,"tmax, tmin","ct","Liolaemus","riojanus","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",6.23,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",550,1200,"IUCN",NA,"terrestrial",NA,NA,1.94591014905531,1.82937633279936,31.139950122,1,0.994074074074074
"Liolaemus_robertmertensi_IUCN","Liolaemus_robertmertensi","IUCN","acclimatized",0,576,5,581,0.0930232558139535,0.0054945054945055,"Terrestrial",19952,-27.6282195804999,45.61744,5.554979,"tmax, tmin","ct","Liolaemus","robertmertensi","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",6.3,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",690,2600,"IUCN",NA,"terrestrial",NA,NA,1.6094379124341,1.84054963339749,27.6282195804999,1,0.991394148020654
"Liolaemus_robertmertensi_IUCN","Liolaemus_robertmertensi","IUCN","Te",0,504,5,509,0.333333333333333,0.00597609561752988,"Terrestrial",19952,-27.6282195804999,43,14.07,"tmax, tmin","ct","Liolaemus","robertmertensi","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",6.3,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",690,2600,"IUCN",NA,"terrestrial",NA,NA,1.6094379124341,1.84054963339749,27.6282195804999,1,0.990176817288802
"Liolaemus_rothi_IUCN","Liolaemus_rothi","IUCN","acclimatized",1,689,17,705,0.142857142857143,0.0124804992199688,"Terrestrial",77654,-39.75285205,46.41744,-3.015021,"tmax, tmin","ct","Liolaemus","rothi","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Iguanidae",10,"Meiri 2008","max adult SVL","omnivore","Labra 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.","high latitude and altitude populations in genus tend to hibernate","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",700,1800,"IUCN",NA,"terrestrial",NA,NA,2.83321334405622,2.30258509299405,39.75285205,1,0.977304964539007
